,Brand me,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Brand
750,"Samsung Galaxy S10 Lite (Prism Blue, 512 )",4.5,8.0,128.0,6.7,48,12.0,4700,Samsung
817,"Redmi K20 (Glacier Blue, 128 )",4.5,6.0,128.0,6.39,48,13.0,3800,Redmi
741,"Samsung Galaxy A70s (Prism Crush White, 128 )",4.2,6.0,128.0,6.7,64,5.0,4700,Samsung
753,"POCO F1 (Steel Blue, 128 )",4.5,6.0,128.0,6.18,35,5.0,3800,POCO
211,MTR Sima,4.2,8.0,64.0,4.77,48,32.0,3000,MTR
90,Jivi N300 New,3.9,5.0,32.0,4.54,48,8.0,3000,Jivi
470,"Moto One (White, 64 )",4.1,4.0,64.0,5.9,38,2.0,3000,Moto
669,"Samsung Galaxy S10 Lite (Prism White, 128 )",4.5,8.0,128.0,6.7,48,12.0,4700,Samsung
749,"Apple iPhone 11 Pro (Space Grey, 512 )",4.7,8.0,64.0,5.8,35,12.0,3500,Apple
25,Snexian Guru 332,,6.0,32.0,4.5,64,13.0,3000,Snexian
275,"Vivo U10 (Electric Blue, 32 )",4.4,3.0,32.0,6.35,38,8.0,5000,Vivo
625,"Vivo V19 (Piano Black, 256 )",4.4,8.0,256.0,6.44,48,8.0,4700,Vivo
387,Nokia 106,4.2,4.0,4.0,4.5,64,5.0,3500,Nokia
354,Salora VOLT 2,3.9,6.0,32.0,4.5,64,,2000,Salora
329,Easyfone Star,3.8,6.0,32.0,4.7,64,,3500,Easyfone
655,"OPPO A9 2020 (Vanilla Mint, 128 )",4.3,8.0,128.0,6.52,48,8.0,5000,OPPO
477,Nokia 3310 DS,3.8,4.0,64.0,4.54,48,,1200,Nokia
279,"Tecno Spark Power 2 (Ice Jadeite, 64 )",4.3,4.0,64.0,7.0,48,5.0,6000,Tecno
140,"Redmi Note 8 (Cosmic Purple, 128 )",4.4,6.0,128.0,6.3,48,1.0,3800,Redmi
603,BlackZone ATOM,3.0,8.0,64.0,4.54,48,23.0,3800,BlackZone
83,Itel it5260,,6.0,32.0,4.54,48,32.0,1900,Itel
589,"Vivo Y91i (Black, 32 )",4.4,2.0,32.0,6.22,38,5.0,4030,Vivo
683,"POCO F1 (Steel Blue, 128 )",4.5,6.0,128.0,6.18,35,5.0,3800,POCO
484,JIVI JV 12M,3.7,10.0,32.0,4.5,64,,3500,JIVI
527,Itel it2161,4.0,6.0,32.0,4.5,48,13.0,3000,Itel
540,Snexian Guru 324,,6.0,32.0,4.5,64,15.0,3000,Snexian
692,"Redmi Note 6 Pro (Rose Gold, 64 )",4.5,6.0,64.0,6.26,35,5.0,3000,Redmi
234,Itel It 2161,4.0,6.0,32.0,4.5,48,13.0,3500,Itel
770,Lava A3,4.2,4.0,3.0,4.77,48,,1750,Lava
601,Kechaoda K66 Plus,4.1,6.0,32.0,4.4,48,,2500,Kechaoda
312,Micax X512,3.9,4.0,24.0,4.77,48,8.0,1750,Micax
709,"Huawei Y9 Prime 2019 (Sapphire Blue, 128 )",4.3,4.0,128.0,6.59,48,8.0,3800,Huawei
680,"Redmi Note 8 Pro (Gamma Green, 128 )",4.4,6.0,128.0,6.53,64,8.0,4550,Redmi
302,Kechaoda A27,4.1,6.0,32.0,3.7,64,,3500,Kechaoda
520,"OPPO Reno2 (Ocean Blue, 256 )",4.5,8.0,256.0,6.5,48,8.0,3800,OPPO
296,Megus Ultra,3.9,6.0,32.0,4.54,64,,4100,Megus
405,BlackZone M4,3.8,6.0,32.0,4.4,48,12.0,2500,BlackZone
152,I Kall K73,3.2,6.0,64.0,4.5,64,8.0,3500,I
303,"Samsung Galaxy S20+ (Cloud Blue, 128 )",4.5,8.0,128.0,6.7,64,1.0,4700,Samsung
240,"tecno Camon i Click (Gold, 64 )",4.4,4.0,64.0,6.0,48,,3750,tecno
504,"Redmi Note 7S (Sapphire Blue, 32 )",4.4,3.0,32.0,6.3,48,5.0,3800,Redmi
43,"OPPO R17 Pro (Emerald Green, 128 )",4.1,8.0,128.0,6.4,35,20.0,3000,OPPO
698,I Kall K28 Coo of Two Mobiles,3.4,6.0,64.0,4.54,20,5.0,3500,I
281,"OPPO A9 2020 (Space Purple, 128 )",4.3,8.0,128.0,6.5,48,8.0,5000,OPPO
593,"Apple iPhone 6s (Space Grey, 32 )",4.5,6.0,64.0,4.7,35,5.0,3500,Apple
1,I Kall K11,3.4,6.0,64.0,4.5,48,12.0,4000,I
137,"OPPO R17 (Neon Purple, 128 )",,8.0,128.0,6.4,48,5.0,3500,OPPO
271,"Realme 6 Pro (Lightning Blue, 64 )",4.5,6.0,64.0,6.6,64,12.0,4700,Realme
347,Blacear B5 Tork,,8.0,64.0,4.5,16,,3000,Blacear
525,Karbonn KX21,3.9,6.0,32.0,4.54,48,13.0,3000,Karbonn
165,Micax X773,3.8,25.0,25.0,4.54,48,,3000,Micax
751,"Samsung Galaxy A70s (Prism Crush Red, 128 )",4.4,8.0,128.0,6.7,64,5.0,4700,Samsung
250,Mafe Leo,3.8,6.0,64.0,4.5,48,11.0,3500,Mafe
652,Kechaoda A27,4.1,6.0,32.0,3.7,64,15.0,3500,Kechaoda
44,Micax X516,3.9,6.0,32.0,4.77,48,,1750,Micax
71,JIVI 12M,3.6,1.0,32.0,4.5,48,10.0,3500,JIVI
417,I Kall K25 New,3.5,6.0,64.0,4.5,48,,3000,I
745,"LG V30+ (Black, 128 )",4.3,4.0,128.0,6.0,48,13.0,3000,LG
446,Karbonn K334,3.7,6.0,32.0,4.77,48,,1750,Karbonn
169,Lava H1 Hero 600,4.0,12.0,24.0,4.5,48,,3500,Lava
719,"Honor 20 (Sapphire Blue, 128 )",4.4,6.0,128.0,6.26,48,2.0,3750,Honor
530,Inovu A9,3.6,6.0,32.0,4.54,38,0.0,1200,Inovu
584,I Kall K6610,3.5,6.0,64.0,4.5,48,,3000,I
637,"Honor 20 (Midnight Black, 128 )",4.4,6.0,128.0,6.26,48,2.0,3750,Honor
516,Nokia 105 Dual Sim 2017,4.2,4.0,4.0,4.5,64,,3500,Nokia
82,Kechaoda K112,3.9,6.0,64.0,4.54,48,,3600,Kechaoda
189,InFocus Hero Selfie C1,3.9,6.0,32.0,4.5,64,20.0,3000,InFocus
0,"LG V30+ (Black, 128 )",4.3,4.0,128.0,6.0,48,13.0,4000,LG
242,I Kall K71 Coo of Two Mobile,3.2,6.0,64.0,44.0,48,,3500,I
568,Ssky K-2,3.6,6.0,35.0,4.5,64,,1050,Ssky
379,Hicell C2 Dezire,3.4,6.0,32.0,4.5,48,5.0,1050,Hicell
496,"Vivo V9 (Pearl Black (Golden Line), 64 )",4.5,4.0,64.0,6.3,48,5.0,3260,Vivo
244,I Kall K3310,3.7,6.0,64.0,4.5,48,,3000,I
116,Kechaoda K9,4.1,6.0,64.0,4.54,48,,3700,Kechaoda
644,"Realme 2 Pro (Black Sea, 128 )",4.5,8.0,128.0,6.3,48,2.0,3500,Realme
638,I Kall K6610,3.5,6.0,64.0,4.5,48,,3000,I
78,"LG Q6 (Black, 32 )",4.0,3.0,32.0,5.5,38,5.0,3000,LG
138,Salora Kiano,3.9,6.0,32.0,4.54,64,,1200,Salora
666,"Google Pixel 3a (Just Black, 64 )",4.5,4.0,64.0,5.6,35,20.0,3000,Google
546,"LG Q7+ (Black, 64 )",3.4,4.0,64.0,5.5,48,5.0,3000,LG
363,Kechaoda K33,4.1,6.0,32.0,44.0,48,5.0,3000,Kechaoda
599,"Vivo V17 (Glacier ice white, 128 )",4.5,8.0,128.0,6.44,48,8.0,4700,Vivo
687,"OPPO A9 (Marble Green, 128 )",4.4,4.0,128.0,6.53,48,2.0,3500,OPPO
560,"Gee F103 Pro (Grey, 16 )",3.9,3.0,16.0,5.0,38,5.0,2500,Gee
184,Easyfone Elite,4.1,6.0,32.0,4.54,48,8.0,3000,Easyfone
711,ITEL magic 1 max,3.9,8.0,8.0,4.58,48,,1900,ITEL
671,"Samsung Galaxy A50s (Prism Crush Black, 128 )",4.3,4.0,128.0,6.4,48,8.0,3800,Samsung
338,Kechaoda K115,4.1,6.0,32.0,4.4,48,,2500,Kechaoda
326,"Samsung Galaxy M31 (Space Black, 128 )",4.5,6.0,128.0,6.4,64,8.0,6000,Samsung
359,Detel D1 Cha,3.7,6.0,32.0,4.5,48,,3000,Detel
216,Tork T13 Ba,4.1,6.0,32.0,4.54,48,5.0,3000,Tork
602,Kechaoda K10,4.0,6.0,32.0,3.7,16,23.0,3000,Kechaoda
761,"OnePlus 7 Pro (Nebula Blue, 256 )",4.5,8.0,256.0,6.67,48,8.0,3800,OnePlus
22,Karbonn K451 Power,3.8,6.0,32.0,4.54,48,,3000,Karbonn
107,I Kall K3310,3.7,6.0,64.0,4.5,48,,3000,I
261,Itel It 5605n,4.1,6.0,32.0,4.77,48,5.0,2500,Itel
33,"Tecno Camon 15 Pro (Opal White, 128 )",4.2,6.0,128.0,6.53,48,2.0,3800,Tecno
226,"OPPO F9 Pro (Sunrise Red, 64 )",4.5,6.0,64.0,6.3,48,2.0,3500,OPPO
826,Easyfone Amico,3.5,6.0,32.0,4.52,48,,3500,Easyfone
454,"Apple iPhone XR ((PRODUCT)RED, 128 )",4.6,12.0,64.0,6.1,35,7.0,3500,Apple
726,Nokia TA-1010/105,4.3,4.0,4.0,4.5,64,14.0,3500,Nokia
14,"OnePlus 7 Pro (Nebula Blue, 256 )",4.5,8.0,256.0,6.67,48,8.0,3800,OnePlus
551,JIVI JV 12M,3.7,10.0,32.0,4.5,64,,3500,JIVI
665,"Samsung Galaxy M31 (Ocean Blue, 128 )",4.5,6.0,128.0,6.4,64,8.0,6000,Samsung
9,"POCO F1 (Graphite Black, 256 )",4.5,8.0,256.0,6.18,35,5.0,3800,POCO
229,Lava 34 ,3.9,8.0,64.0,4.54,64,32.0,2500,Lava
57,Blacear B5 Grip,3.5,6.0,32.0,4.5,64,17.0,1050,Blacear
674,"Vivo V17Pro (Glacier Ice White, 128 )",4.5,8.0,128.0,6.44,48,13.0,4100,Vivo
631,Micax X1i Power,3.9,6.0,32.0,4.54,48,12.0,1750,Micax
764,InFocus POWER 2,4.1,8.0,64.0,4.54,64,,2500,InFocus
640,Nokia 150,4.2,4.0,4.0,4.54,48,,1020,Nokia
471,"LG Q7+ (Black, 64 )",3.4,4.0,64.0,5.5,48,5.0,3000,LG
743,Kechaoda K111,4.1,6.0,32.0,4.5,48,,3000,Kechaoda
344,"Samsung Galaxy A21s (White, 64 )",4.3,6.0,64.0,6.5,48,8.0,5000,Samsung
124,I Kall K3310,3.7,6.0,64.0,4.5,48,,3000,I
391,Kechaoda A27,4.1,6.0,32.0,3.7,64,12.0,3500,Kechaoda
810,InFocus POWER 2,4.1,8.0,64.0,4.54,64,,2500,InFocus
112,Karbonn KX1,3.9,6.0,32.0,4.5,48,,3000,Karbonn
198,"Apple iPhone XS (Silver, 256 )",4.7,12.0,64.0,5.8,35,12.0,3500,Apple
157,MTR Shakti,4.1,6.0,32.0,4.5,48,16.0,3000,MTR
624,Lava A1 ,4.0,6.0,32.0,4.5,48,12.0,4700,Lava
659,"OPPO F11 Pro (Aurora Green, 128 )",4.4,6.0,128.0,6.5,48,5.0,4700,OPPO
322,"Realme X2 Pro (Lur White, 256 )",4.6,12.0,25.0,6.5,64,13.0,3800,Realme
702,"Mi 10 (Twilight Grey, 128 )",4.6,8.0,128.0,6.67,26,20.0,4780,Mi
447,"Vivo V15 Pro (Ruby Red, 128 )",4.5,6.0,128.0,6.39,48,32.0,3000,Vivo
342,"Samsung Galaxy Note10 Lite (Aura Black, 128 )",4.5,8.0,128.0,6.7,35,12.0,4700,Samsung
